,min
0,22.235157191753387
1,23.007875978946686
2,25.528788566589355
3,23.288154006004333
4,23.977643251419067
5,25.55161327123642
6,25.001271069049835
7,24.35601055622101
8,24.99361902475357
9,25.76004594564438
10,27.330527901649475
11,27.728354930877686
12,26.681224405765533
13,26.858909130096436
14,24.954344928264618
15,23.970840275287628
16,23.566571176052094
17,23.66402417421341
18,23.76957356929779
19,25.499077439308167
20,25.30706912279129
21,26.331072449684143
22,26.63759022951126
23,27.01678991317749
24,27.434468865394592
25,27.22902148962021
26,27.07927256822586
27,28.214357793331146
28,27.366048991680145
29,27.55522847175598
30,25.60831308364868
31,26.96491539478302
32,26.926064789295197
33,26.046144366264343
34,27.209701538085938
35,27.476709485054016
36,27.960382103919983
37,27.675956785678864
38,27.160899937152863
39,27.78953790664673
40,24.81981247663498
41,24.011447429656982
42,25.702215433120728
43,25.628734529018402
44,26.616346836090088
45,26.644624769687653
46,26.316016614437103
47,26.786999106407166
48,26.901604533195496
49,27.730011343955994
50,27.177048921585083
51,28.083699345588684
52,23.906820118427277
53,25.537784099578857
54,24.942975342273712
55,26.459200382232666
56,26.797630190849304
57,24.176913499832153
58,25.503904819488525
59,25.82703471183777
60,25.707547664642334
61,26.359817683696747
62,27.43963211774826
63,26.809404492378235
64,27.00950711965561
65,28.318736851215363
66,28.365886211395264
67,27.2510889172554
68,27.977390587329865
69,27.74324804544449
70,28.526810705661774
71,28.11129927635193
72,28.698174357414246
73,28.297460079193115
74,26.772623360157013
75,27.85609483718872
76,27.18854159116745
77,27.811542749404907
78,28.894651234149933
79,28.64548623561859
80,28.76767486333847
81,29.326666295528412
82,29.651437997817993
83,31.00977599620819
84,30.109384059906006
85,30.52692949771881
86,30.403902232646942
87,29.719280004501343
88,30.909844636917114
89,30.618814527988434
90,31.41666740179062
91,31.100042164325714
92,31.517946422100067
93,30.327498614788055
94,30.42676866054535
95,30.88180035352707
96,30.81117331981659
97,31.09653115272522
98,30.972779989242554
99,30.793516039848328
100,30.87789088487625
101,30.845638811588287
102,30.91898202896118
103,30.982032120227814
104,31.118008196353912
105,30.658724904060364
106,30.47200083732605
107,30.807326436042786
108,30.77223092317581
109,31.025265753269196
110,31.09515219926834
111,30.87158441543579
112,30.63703715801239
113,31.213660836219788
114,31.60615563392639
115,30.564167499542236
116,30.67660540342331
117,30.06774216890335
118,30.637400150299072
119,29.33624804019928
120,30.675551891326904
121,29.22498047351837
122,30.646387338638306
123,30.195569694042206
124,30.86287260055542
125,30.475403368473053
126,30.35187542438507
127,29.598906338214874
128,29.417983889579773
129,30.091616213321686
130,29.3887859582901
131,29.792775511741638
132,30.366176068782806
133,30.507795214653015
134,29.91521865129471
135,30.368508398532867
136,30.643662810325623
137,30.866085290908813
138,30.025190711021423
139,30.239612758159637
140,31.022866666316986
141,31.199620962142944
142,30.29165416955948
143,29.28570657968521
144,29.091443121433258
145,29.946657121181488
146,29.510715901851654
147,29.838694036006927
148,29.318317472934723
149,29.678238928318024
150,29.951958060264587
151,29.41435605287552
152,29.634786248207092
153,29.12328839302063
154,30.166248679161072
155,30.33423274755478
156,29.366028010845184
157,29.591875970363617
158,29.963471591472626
159,29.955700635910034
160,29.283699691295624
161,29.72268044948578
162,30.464077591896057
163,29.79184091091156
164,29.734982550144196
165,29.66368794441223
166,29.352286458015442
167,29.374585449695587
168,28.601582944393158
169,29.658343195915222
170,28.895802795886993
171,29.136596024036407
172,29.29162710905075
173,29.292570054531097
174,29.62501883506775
175,28.753933310508728
176,29.187122881412506
177,28.639853596687317
178,28.892241716384888
179,28.73940736055374
180,29.050132930278778
181,29.3896621465683
182,28.925532698631287
183,28.486286997795105
184,25.913414359092712
185,25.950420796871185
186,26.4154514670372
187,28.344488441944122
188,28.12769442796707
189,27.580410540103912
190,28.86977791786194
191,28.972037434577942
192,29.908121526241302
193,25.091679096221924
194,23.84586662054062
195,23.689456582069397
196,25.06665349006653
197,24.950468838214874
198,26.151933670043945
199,24.143570363521576
200,24.50730323791504
201,24.310646951198578
202,25.002635419368744
203,24.830443561077118
204,24.974082112312317
205,25.203464031219482
206,26.099147498607635
207,26.1504065990448
208,25.880261063575745
209,27.481870651245117
210,26.794638633728027
211,25.952070951461792
212,26.42136573791504
213,25.37936508655548
214,24.280764758586884
215,22.496006786823273
216,22.4419105052948
217,24.97848391532898
218,23.82376790046692
219,23.82708489894867
220,23.562033772468567
221,21.80141270160675
222,22.09570974111557
223,23.129603564739227
224,23.599728643894196
225,23.534350395202637
226,24.74047988653183
227,22.67874836921692
228,23.264127671718597
229,21.376707553863525
230,19.82974499464035
231,21.925608217716217
232,23.527032136917114
233,23.970859050750732
234,23.1028214097023
235,25.558777153491974
236,24.304932951927185
237,25.592735707759857
238,25.70369243621826
239,25.241511464118958
240,25.247317254543304
241,23.369889855384827
242,20.023534893989563
243,17.99403041601181
244,18.838254511356354
245,19.601224660873413
246,18.713570833206177
247,20.440348088741302
248,20.212664306163788
249,18.91325205564499
250,15.722926408052444
251,16.76612451672554
252,15.991637706756592
253,16.998497992753983
254,16.902918368577957
255,19.62544083595276
256,17.921219170093536
257,19.031149446964264
258,21.017432808876038
259,15.720734894275665
260,19.71347689628601
261,16.914806365966797
262,18.27738344669342
263,20.886659622192383
264,17.0192688703537
265,14.765510261058807
266,15.966521352529526
267,14.00489017367363
268,13.22617158293724
269,14.878526031970978
270,13.792630434036255
271,18.820071518421173
272,12.225083708763123
273,12.002775967121124
274,14.43239912390709
275,12.825116217136383
276,14.67173308134079
277,14.208596646785736
278,15.983183532953262
279,18.513649702072144
280,17.27134197950363
281,15.079444348812103
282,11.450025290250778
283,14.42484825849533
284,17.5956192612648
285,16.48355484008789
286,17.954743802547455
287,17.65434056520462
288,15.418933928012848
289,19.43979322910309
290,14.526342153549194
291,15.448943376541138
292,16.439356356859207
293,16.091728657484055
294,14.003129452466965
295,12.920618653297424
296,11.285190284252167
297,17.316466718912125
298,20.46197533607483
299,18.05948168039322
300,15.084191411733627
301,14.940349459648132
302,19.334786236286163
303,18.08604061603546
304,19.416252970695496
305,21.052780747413635
306,21.43185943365097
307,19.69629943370819
308,23.300030529499054
309,20.876815021038055
310,14.168667495250702
311,12.859366834163666
312,15.167875736951828
313,18.460606932640076
314,19.842706322669983
315,20.197510421276093
316,23.119341731071472
317,17.767229080200195
318,13.147745430469513
319,13.97507056593895
320,17.582689225673676
321,17.28192299604416
322,13.385867327451706
323,14.702632278203964
324,13.688352555036545
325,17.485795319080353
326,20.6271493434906
327,21.746617555618286
328,17.536574602127075
329,21.432105600833893
330,22.465469539165497
331,20.525953769683838
332,20.99323332309723
333,18.981285989284515
334,22.709022760391235
335,22.230688631534576
336,18.444270193576813
337,19.56761658191681
338,17.48253047466278
339,15.622493326663971
340,21.345846951007843
341,19.33211386203766
342,23.16401481628418
343,22.418107390403748
344,23.682701587677002
345,25.115765929222107
346,24.969390332698822
347,18.15790057182312
348,16.783460527658463
349,14.885451048612595
350,14.961657524108887
351,15.869590938091278
352,20.975970327854156
353,24.523646235466003
354,24.654544591903687
355,25.463293492794037
356,25.66937506198883
357,28.003384172916412
358,19.809269309043884
359,17.364030182361603
360,18.23134809732437
361,18.780006766319275
362,19.41113978624344
363,21.148794293403625
364,23.74994069337845
365,24.04293805360794
366,25.252157151699066
367,26.148049235343933
368,26.97655200958252
369,27.06945925951004
370,26.49980127811432
371,20.55868774652481
