,0
0,27.191195845603943
1,27.205720901489258
2,27.784092783927917
3,25.344604015350342
4,25.39474880695343
5,24.767247796058655
6,23.937236428260803
7,25.724506735801697
8,24.600546717643738
9,24.02857279777527
10,26.070189833641052
11,25.827296137809753
12,26.267425179481506
13,25.992024898529053
14,25.194902777671814
15,26.149996280670166
16,25.119505882263184
17,25.063233137130737
18,22.678130626678467
19,24.008195161819458
20,24.436885476112366
21,26.172666311264038
22,23.79482901096344
23,26.04213035106659
24,23.692715525627136
25,24.307558298110962
26,24.013230562210083
27,26.468478202819824
28,24.60294282436371
29,26.922733545303345
